sensor1	sensor2	sensor3	sensor4	
25.4	37.7	5.7	8.2	
27.8	32.8	15.5	5.7	
25.4	25.4	8.2	-4.1	
20.5	30.3	0.8	-1.7	
20.5	30.3	5.7	3.2	
20.5	27.8	0.8	18.0	
13.1	20.5	-1.7	18.0	
18.0	32.8	-1.7	18.0	
18.0	27.8	-1.7	10.6	
8.2	22.9	8.2	5.7	
8.2	42.6	0.8	-6.6	
3.2	30.3	10.6	5.7	
13.1	30.3	10.6	3.2	
20.5	25.4	0.8	3.2	
10.6	27.8	10.6	-1.7	
20.5	30.3	3.2	3.2	
40.1	27.8	15.5	-1.7	
25.4	40.1	13.1	-1.7	
35.2	37.7	13.1	10.6	
32.8	42.6	13.1	15.5	
30.3	27.8	15.5	20.5	
13.1	27.8	25.4	13.1	
3.2	42.6	8.2	13.1	
-18.9	40.1	8.2	15.5	
-9.1	25.4	10.6	15.5	
13.1	27.8	3.2	5.7	
10.6	35.2	-1.7	10.6	
25.4	32.8	0.8	0.8	
27.8	37.7	3.2	3.2	
40.1	22.9	15.5	-9.1	
37.7	27.8	18.0	-4.1	
25.4	42.6	13.1	8.2	
25.4	45.1	15.5	0.8	
27.8	35.2	10.6	8.2	
15.5	32.8	13.1	8.2	
0.8	35.2	13.1	-9.1	
-14.0	42.6	13.1	5.7	
-18.9	40.1	15.5	3.2	
-11.5	47.5	13.1	8.2	
-18.9	42.6	10.6	0.8	
-16.4	37.7	20.5	-1.7	
-21.4	30.3	8.2	-4.1	
-9.1	27.8	5.7	0.8	
-6.6	45.1	10.6	3.2	
13.1	35.2	-6.6	-4.1	
8.2	32.8	13.1	-6.6	
10.6	35.2	22.9	-4.1	
0.8	27.8	5.7	5.7	
8.2	32.8	-4.1	10.6	
0.8	37.7	-1.7	8.2	
18.0	22.9	0.8	0.8	
13.1	35.2	5.7	8.2	
15.5	32.8	8.2	-1.7	
15.5	37.7	-1.7	-4.1	
18.0	30.3	-1.7	8.2	
25.4	27.8	5.7	0.8	
32.8	30.3	0.8	3.2	
30.3	42.6	3.2	3.2	
27.8	37.7	-9.1	13.1	
30.3	27.8	13.1	18.0	
15.5	40.1	8.2	10.6	
25.4	25.4	15.5	-6.6	
13.1	37.7	25.4	8.2	
8.2	30.3	5.7	8.2	
15.5	47.5	10.6	-1.7	
20.5	30.3	3.2	-4.1	
25.4	27.8	5.7	-4.1	
30.3	25.4	3.2	10.6	
18.0	40.1	-1.7	15.5	
15.5	35.2	8.2	13.1	
5.7	25.4	10.6	5.7	
-1.7	30.3	5.7	3.2	
8.2	25.4	-9.1	10.6	
27.8	32.8	8.2	13.1	
32.8	32.8	10.6	3.2	
18.0	25.4	8.2	-9.1	
22.9	30.3	-6.6	-6.6	
8.2	30.3	5.7	0.8	
15.5	30.3	5.7	0.8	
20.5	32.8	0.8	3.2	
20.5	30.3	5.7	5.7	
15.5	35.2	3.2	15.5	
18.0	30.3	5.7	15.5	
25.4	32.8	5.7	-1.7	
10.6	35.2	10.6	-1.7	
27.8	37.7	8.2	-9.1	
30.3	37.7	-1.7	8.2	
30.3	35.2	8.2	0.8	
15.5	30.3	18.0	-4.1	
18.0	20.5	22.9	5.7	
18.0	30.3	5.7	-6.6	
18.0	35.2	3.2	8.2	
8.2	32.8	5.7	-1.7	
5.7	20.5	3.2	-6.6	
18.0	37.7	15.5	3.2	
27.8	42.6	8.2	5.7	
15.5	42.6	-4.1	5.7	
25.4	35.2	3.2	5.7	
18.0	32.8	5.7	0.8	
15.5	35.2	0.8	-11.5	
20.5	27.8	3.2	-11.5	
5.7	40.1	5.7	-4.1	
0.8	32.8	13.1	8.2	
8.2	27.8	13.1	10.6	
8.2	37.7	3.2	10.6	
-9.1	30.3	3.2	-9.1	
13.1	30.3	18.0	-6.6	
20.5	25.4	5.7	-9.1	
22.9	37.7	3.2	-1.7	
3.2	27.8	8.2	13.1	
0.8	30.3	15.5	5.7	
5.7	40.1	15.5	10.6	
8.2	22.9	25.4	20.5	
10.6	27.8	15.5	8.2	
10.6	25.4	5.7	0.8	
20.5	37.7	0.8	5.7	
3.2	27.8	8.2	8.2	
15.5	27.8	18.0	8.2	
13.1	32.8	22.9	-1.7	
13.1	27.8	8.2	5.7	
5.7	37.7	0.8	3.2	
20.5	25.4	5.7	-9.1	
3.2	32.8	-6.6	0.8	
3.2	32.8	-1.7	10.6	
13.1	37.7	0.8	18.0	
27.8	32.8	5.7	18.0	
15.5	30.3	10.6	0.8	
13.1	40.1	10.6	3.2	
18.0	32.8	10.6	-4.1	
22.9	32.8	10.6	0.8	
20.5	22.9	5.7	-1.7	
22.9	35.2	5.7	13.1	
18.0	32.8	10.6	15.5	
15.5	37.7	5.7	0.8	
15.5	20.5	13.1	-1.7	
13.1	50.0	13.1	-6.6	
18.0	30.3	13.1	-1.7	
18.0	32.8	13.1	0.8	
22.9	32.8	10.6	-6.6	
27.8	30.3	3.2	-6.6	
32.8	37.7	8.2	5.7	
32.8	37.7	-1.7	3.2	
22.9	30.3	3.2	10.6	
22.9	25.4	-4.1	5.7	
13.1	35.2	5.7	-1.7	
20.5	35.2	5.7	0.8	
25.4	30.3	-4.1	-1.7	
27.8	27.8	5.7	5.7	
32.8	37.7	0.8	-9.1	
20.5	27.8	3.2	-9.1	
10.6	30.3	5.7	-9.1	
18.0	40.1	10.6	8.2	
27.8	30.3	3.2	-9.1	
40.1	35.2	-4.1	-1.7	
22.9	35.2	0.8	-1.7	
40.1	35.2	8.2	5.7	
35.2	27.8	0.8	10.6	
30.3	37.7	3.2	-4.1	
27.8	32.8	13.1	5.7	
13.1	32.8	18.0	10.6	
18.0	32.8	3.2	3.2	
32.8	32.8	-4.1	3.2	
13.1	37.7	-1.7	0.8	
3.2	30.3	0.8	-1.7	
-4.1	32.8	5.7	5.7	
0.8	32.8	10.6	-4.1	
-9.1	25.4	3.2	10.6	
-1.7	35.2	10.6	5.7	
-4.1	40.1	5.7	5.7	
-18.9	42.6	8.2	5.7	
-11.5	40.1	3.2	0.8	
-16.4	32.8	5.7	0.8	
8.2	37.7	13.1	-1.7	
20.5	37.7	15.5	-4.1	
40.1	30.3	10.6	5.7	
37.7	37.7	8.2	3.2	
27.8	35.2	3.2	-1.7	
25.4	32.8	0.8	5.7	
25.4	30.3	5.7	0.8	
27.8	27.8	13.1	8.2	
27.8	35.2	13.1	13.1	
25.4	32.8	13.1	18.0	
30.3	27.8	13.1	5.7	
20.5	25.4	3.2	-4.1	
20.5	32.8	8.2	5.7	
27.8	30.3	10.6	-4.1	
27.8	18.0	-4.1	25.4	
8.2	20.5	8.2	3.2	
-9.1	32.8	0.8	-4.1	
18.0	10.6	18.0	13.1	
8.2	22.9	10.6	8.2	
-16.4	22.9	8.2	0.8	
-9.1	20.5	5.7	-1.7	
-6.6	22.9	8.2	0.8	
-14.0	22.9	0.8	8.2	
-14.0	32.8	3.2	5.7	
-18.9	32.8	3.2	0.8	
-14.0	35.2	3.2	0.8	
-11.5	42.6	-1.7	-6.6	
5.7	42.6	-6.6	10.6	
10.6	30.3	0.8	-1.7	
5.7	27.8	5.7	3.2	
13.1	45.1	3.2	-1.7	
8.2	52.4	0.8	5.7	
8.2	40.1	8.2	3.2	
3.2	42.6	-4.1	5.7	
18.0	32.8	3.2	3.2	
5.7	35.2	0.8	10.6	
18.0	27.8	3.2	13.1	
18.0	32.8	5.7	13.1	
35.2	35.2	18.0	8.2	
20.5	40.1	15.5	8.2	
27.8	30.3	15.5	3.2	
20.5	32.8	20.5	-1.7	
20.5	30.3	22.9	-4.1	
25.4	35.2	20.5	-6.6	
13.1	27.8	22.9	-9.1	
22.9	42.6	18.0	-4.1	
8.2	30.3	15.5	-1.7	
15.5	40.1	13.1	0.8	
22.9	32.8	27.8	15.5	
32.8	27.8	20.5	15.5	
27.8	30.3	13.1	18.0	
25.4	25.4	8.2	18.0	
20.5	30.3	10.6	18.0	
25.4	20.5	3.2	10.6	
25.4	25.4	15.5	-1.7	
20.5	40.1	10.6	-4.1	
13.1	45.1	5.7	0.8	
10.6	35.2	5.7	0.8	
-6.6	37.7	18.0	15.5	
20.5	27.8	3.2	13.1	
32.8	32.8	5.7	0.8	
13.1	30.3	-1.7	-11.5	
27.8	40.1	-1.7	8.2	
18.0	27.8	13.1	10.6	
18.0	35.2	5.7	3.2	
8.2	20.5	5.7	5.7	
15.5	32.8	8.2	10.6	
18.0	40.1	5.7	8.2	
10.6	30.3	10.6	-4.1	
5.7	27.8	5.7	-1.7	
20.5	37.7	8.2	3.2	
18.0	30.3	-4.1	-4.1	
25.4	27.8	0.8	3.2	
32.8	25.4	0.8	3.2	
22.9	25.4	0.8	10.6	
18.0	25.4	3.2	0.8	
8.2	27.8	-1.7	0.8	
8.2	27.8	3.2	10.6	
20.5	37.7	0.8	-6.6	
32.8	35.2	10.6	0.8	
25.4	40.1	3.2	-4.1	
20.5	37.7	-4.1	0.8	
40.1	27.8	5.7	8.2	
27.8	35.2	5.7	3.2	
18.0	35.2	10.6	-1.7	
13.1	35.2	10.6	3.2	
30.3	27.8	15.5	-11.5	
18.0	27.8	8.2	-4.1	
8.2	27.8	3.2	3.2	
13.1	35.2	5.7	10.6	
10.6	25.4	-1.7	0.8	
-11.5	22.9	0.8	13.1	
10.6	25.4	-1.7	15.5	
3.2	27.8	10.6	8.2	
0.8	25.4	8.2	3.2	
13.1	27.8	8.2	-1.7	
30.3	27.8	5.7	13.1	
25.4	32.8	20.5	15.5	
22.9	40.1	8.2	-1.7	
8.2	35.2	5.7	-1.7	
5.7	30.3	0.8	0.8	
18.0	32.8	15.5	3.2	
22.9	37.7	13.1	3.2	
10.6	37.7	0.8	-1.7	
8.2	42.6	-1.7	-4.1	
5.7	37.7	13.1	3.2	
5.7	47.5	13.1	0.8	
3.2	42.6	5.7	3.2	
-4.1	32.8	15.5	5.7	
0.8	37.7	15.5	13.1	
-6.6	37.7	15.5	8.2	
-9.1	40.1	15.5	3.2	
3.2	37.7	8.2	-11.5	
-9.1	45.1	3.2	-4.1	
-26.3	35.2	8.2	-4.1	
-11.5	52.4	15.5	-1.7	
0.8	30.3	13.1	3.2	
10.6	40.1	10.6	0.8	
13.1	30.3	10.6	8.2	
18.0	42.6	5.7	8.2	
18.0	25.4	8.2	10.6	
20.5	35.2	8.2	8.2	
20.5	37.7	3.2	-1.7	
32.8	37.7	5.7	3.2	
32.8	37.7	0.8	-1.7	
20.5	42.6	3.2	-11.5	
20.5	42.6	8.2	-9.1	
20.5	32.8	8.2	-11.5	
20.5	37.7	18.0	5.7	
25.4	32.8	22.9	0.8	
20.5	40.1	10.6	-4.1	
27.8	30.3	0.8	-1.7	
27.8	32.8	10.6	18.0	
22.9	30.3	5.7	15.5	
20.5	27.8	0.8	-4.1	
22.9	22.9	10.6	-4.1	
15.5	35.2	13.1	-1.7	
18.0	37.7	22.9	-1.7	
20.5	30.3	15.5	13.1	
22.9	37.7	15.5	15.5	
27.8	25.4	10.6	0.8	
8.2	35.2	8.2	0.8	
8.2	40.1	10.6	3.2	
8.2	50.0	18.0	18.0	
20.5	37.7	8.2	5.7	
20.5	40.1	8.2	-4.1	
22.9	35.2	0.8	13.1	
8.2	22.9	13.1	25.4	
0.8	37.7	15.5	8.2	
10.6	32.8	15.5	5.7	
13.1	30.3	3.2	0.8	
35.2	25.4	13.1	-1.7	
20.5	35.2	10.6	-4.1	
35.2	37.7	0.8	-9.1	
22.9	40.1	8.2	-1.7	
15.5	35.2	5.7	0.8	
-1.7	40.1	8.2	0.8	
15.5	40.1	3.2	-1.7	
22.9	42.6	5.7	-1.7	
10.6	32.8	0.8	-9.1	
27.8	40.1	5.7	15.5	
32.8	40.1	-1.7	15.5	
18.0	40.1	0.8	8.2	
22.9	40.1	5.7	5.7	
15.5	42.6	3.2	3.2	
40.1	27.8	13.1	8.2	
30.3	27.8	0.8	0.8	
32.8	37.7	13.1	5.7	
27.8	30.3	5.7	-4.1	
18.0	30.3	3.2	-4.1	
8.2	32.8	8.2	-4.1	
5.7	22.9	8.2	3.2	
-1.7	32.8	18.0	-4.1	
3.2	22.9	5.7	-14.0	
15.5	37.7	5.7	-1.7	
25.4	32.8	5.7	5.7	
5.7	32.8	13.1	8.2	
0.8	27.8	13.1	-4.1	
0.8	40.1	13.1	5.7	
8.2	42.6	10.6	0.8	
13.1	32.8	5.7	3.2	
10.6	37.7	10.6	-1.7	
5.7	42.6	-1.7	-1.7	
0.8	30.3	8.2	-6.6	
-1.7	35.2	5.7	-4.1	
-9.1	32.8	15.5	-1.7	
-21.4	40.1	15.5	5.7	
-9.1	22.9	8.2	0.8	
8.2	30.3	8.2	-1.7	
-1.7	32.8	10.6	-9.1	
8.2	22.9	-4.1	5.7	
8.2	35.2	3.2	5.7	
13.1	22.9	-1.7	-4.1	
8.2	32.8	3.2	8.2	
0.8	32.8	-14.0	-1.7	
8.2	35.2	8.2	0.8	
3.2	22.9	0.8	-1.7	
20.5	37.7	0.8	0.8	
27.8	32.8	8.2	13.1	
20.5	22.9	-4.1	5.7	
27.8	32.8	15.5	5.7	
27.8	32.8	13.1	0.8	
27.8	32.8	13.1	-1.7	
18.0	27.8	20.5	5.7	
18.0	25.4	13.1	8.2	
10.6	37.7	10.6	5.7	
10.6	35.2	5.7	0.8	
10.6	30.3	0.8	-9.1	
0.8	32.8	3.2	5.7	
5.7	25.4	3.2	5.7	
3.2	35.2	5.7	15.5	
13.1	20.5	5.7	22.9	
18.0	35.2	13.1	8.2	
13.1	37.7	25.4	-14.0	
22.9	32.8	8.2	3.2	
25.4	30.3	10.6	13.1	
18.0	35.2	8.2	5.7	
20.5	27.8	8.2	8.2	
25.4	27.8	5.7	8.2	
25.4	35.2	0.8	-1.7	
18.0	32.8	5.7	-4.1	
13.1	30.3	-1.7	5.7	
0.8	35.2	0.8	-6.6	
8.2	40.1	5.7	5.7	
13.1	40.1	13.1	3.2	
10.6	40.1	10.6	8.2	
27.8	40.1	3.2	10.6	
27.8	37.7	3.2	0.8	
8.2	27.8	8.2	18.0	
5.7	30.3	-1.7	5.7	
22.9	35.2	5.7	-4.1	
18.0	37.7	5.7	8.2	
30.3	32.8	13.1	-1.7	
22.9	30.3	15.5	-1.7	
20.5	37.7	15.5	0.8	
22.9	25.4	18.0	0.8	
15.5	32.8	18.0	3.2	
10.6	35.2	0.8	3.2	
5.7	32.8	3.2	-6.6	
5.7	35.2	8.2	20.5	
5.7	35.2	13.1	8.2	
13.1	32.8	13.1	5.7	
5.7	37.7	13.1	0.8	
10.6	35.2	0.8	-1.7	
18.0	40.1	8.2	5.7	
27.8	37.7	5.7	0.8	
30.3	37.7	20.5	0.8	
27.8	37.7	32.8	5.7	
20.5	32.8	15.5	5.7	
20.5	30.3	8.2	3.2	
20.5	22.9	0.8	10.6	
8.2	20.5	10.6	8.2	
-1.7	25.4	13.1	-1.7	
15.5	27.8	15.5	3.2	
22.9	25.4	13.1	-9.1	
5.7	27.8	5.7	-11.5	
5.7	37.7	-1.7	5.7	
13.1	40.1	3.2	8.2	
20.5	37.7	0.8	-4.1	
15.5	40.1	15.5	3.2	
25.4	25.4	10.6	-1.7	
13.1	32.8	5.7	0.8	
10.6	37.7	0.8	8.2	
18.0	27.8	8.2	-9.1	
10.6	32.8	5.7	8.2	
13.1	32.8	8.2	10.6	
42.6	30.3	3.2	-1.7	
35.2	30.3	0.8	-1.7	
32.8	25.4	8.2	-1.7	
37.7	18.0	-1.7	3.2	
22.9	22.9	8.2	3.2	
27.8	20.5	5.7	-9.1	
30.3	35.2	0.8	0.8	
25.4	22.9	0.8	0.8	
3.2	25.4	5.7	10.6	
8.2	22.9	-4.1	5.7	
0.8	30.3	3.2	-4.1	
-4.1	32.8	-1.7	-4.1	
-1.7	30.3	-1.7	-1.7	
3.2	35.2	3.2	8.2	
-11.5	22.9	10.6	8.2	
3.2	35.2	3.2	-4.1	
13.1	27.8	10.6	0.8	
15.5	30.3	0.8	-1.7	
18.0	35.2	10.6	5.7	
40.1	25.4	3.2	-9.1	
35.2	25.4	3.2	3.2	
32.8	27.8	3.2	-14.0	
22.9	27.8	15.5	-4.1	
15.5	37.7	18.0	8.2	
18.0	32.8	3.2	5.7	
8.2	30.3	3.2	5.7	
0.8	22.9	-1.7	-11.5	
-6.6	32.8	10.6	3.2	
8.2	37.7	10.6	-9.1	
-9.1	37.7	15.5	8.2	
-4.1	32.8	10.6	5.7	
-14.0	42.6	10.6	15.5	
15.5	32.8	-6.6	10.6	
13.1	35.2	10.6	0.8	
5.7	37.7	3.2	-1.7	
5.7	22.9	8.2	-1.7	
-1.7	22.9	0.8	3.2	
15.5	40.1	13.1	3.2	
30.3	25.4	10.6	-4.1	
30.3	37.7	0.8	3.2	
15.5	25.4	3.2	5.7	
27.8	32.8	8.2	8.2	
37.7	32.8	3.2	-6.6	
27.8	15.5	-4.1	10.6	
18.0	18.0	15.5	3.2	
20.5	25.4	8.2	8.2	
25.4	20.5	-4.1	3.2	
27.8	15.5	8.2	3.2	
10.6	18.0	8.2	-4.1	
-1.7	20.5	5.7	8.2	
8.2	30.3	-4.1	10.6	
32.8	22.9	8.2	-1.7	
15.5	18.0	13.1	3.2	
15.5	35.2	8.2	5.7	
32.8	25.4	18.0	-4.1	
32.8	22.9	18.0	0.8	
25.4	30.3	13.1	8.2	
18.0	13.1	20.5	-9.1	
20.5	27.8	8.2	0.8	
22.9	32.8	0.8	10.6	
5.7	20.5	3.2	10.6	
3.2	22.9	8.2	0.8	
10.6	30.3	5.7	-6.6	
0.8	30.3	0.8	-4.1	
3.2	37.7	8.2	8.2	
5.7	32.8	5.7	3.2	
8.2	25.4	8.2	3.2	
10.6	25.4	13.1	5.7	
3.2	25.4	-1.7	3.2	
0.8	27.8	0.8	0.8	
13.1	35.2	5.7	-1.7	
20.5	22.9	0.8	-9.1	
15.5	25.4	3.2	-1.7	
22.9	27.8	3.2	-4.1	
10.6	18.0	15.5	-4.1	
18.0	20.5	15.5	0.8	
32.8	22.9	10.6	-1.7	
25.4	22.9	5.7	13.1	
25.4	27.8	-1.7	5.7	
32.8	37.7	18.0	5.7	
13.1	30.3	13.1	-4.1	
10.6	25.4	13.1	3.2	
5.7	20.5	0.8	5.7	
13.1	40.1	-4.1	3.2	
8.2	30.3	0.8	-6.6	
10.6	20.5	5.7	-1.7	
10.6	27.8	8.2	13.1	
18.0	32.8	8.2	18.0	
13.1	22.9	3.2	5.7	
22.9	27.8	8.2	-6.6	
22.9	15.5	5.7	-11.5	
18.0	15.5	0.8	3.2	
18.0	30.3	3.2	-1.7	
15.5	15.5	0.8	-1.7	
10.6	20.5	8.2	3.2	
15.5	18.0	5.7	0.8	
27.8	32.8	3.2	8.2	
30.3	27.8	-6.6	8.2	
22.9	25.4	10.6	5.7	
22.9	35.2	0.8	5.7	
37.7	22.9	8.2	-4.1	
32.8	20.5	5.7	5.7	
37.7	30.3	8.2	10.6	
32.8	25.4	0.8	10.6	
27.8	25.4	0.8	-1.7	
35.2	32.8	-1.7	-1.7	
30.3	37.7	15.5	8.2	
20.5	25.4	5.7	0.8	
32.8	20.5	5.7	8.2	
37.7	20.5	10.6	10.6	
42.6	18.0	5.7	8.2	
27.8	15.5	0.8	-1.7	
18.0	13.1	3.2	0.8	
22.9	3.2	3.2	10.6	
18.0	-16.4	0.8	13.1	
3.2	-9.1	10.6	13.1	
8.2	-16.4	8.2	5.7	
8.2	-16.4	5.7	0.8	
-16.4	-11.5	15.5	5.7	
8.2	-14.0	15.5	0.8	
-6.6	-6.6	3.2	3.2	
18.0	-9.1	0.8	0.8	
20.5	-6.6	0.8	-1.7	
18.0	0.8	-4.1	8.2	
8.2	3.2	3.2	13.1	
0.8	13.1	-4.1	15.5	
5.7	15.5	-1.7	8.2	
13.1	15.5	13.1	3.2	
18.0	25.4	5.7	8.2	
0.8	18.0	8.2	5.7	
5.7	22.9	10.6	0.8	
3.2	22.9	3.2	5.7	
5.7	22.9	-11.5	-4.1	
5.7	25.4	10.6	-4.1	
0.8	30.3	-1.7	15.5	
8.2	27.8	0.8	3.2	
18.0	40.1	0.8	-1.7	
15.5	30.3	0.8	-1.7	
15.5	22.9	3.2	0.8	
10.6	25.4	13.1	5.7	
13.1	30.3	15.5	-1.7	
20.5	37.7	10.6	8.2	
20.5	25.4	5.7	5.7	
18.0	27.8	-1.7	8.2	
35.2	42.6	20.5	8.2	
27.8	32.8	18.0	-6.6	
32.8	32.8	5.7	-1.7	
27.8	42.6	3.2	-9.1	
22.9	30.3	0.8	13.1	
22.9	32.8	5.7	13.1	
32.8	32.8	3.2	5.7	
22.9	18.0	-9.1	0.8	
18.0	42.6	20.5	-1.7	
15.5	40.1	13.1	13.1	
13.1	40.1	5.7	8.2	
3.2	32.8	10.6	-6.6	
-14.0	35.2	10.6	-1.7	
-6.6	37.7	8.2	0.8	
-6.6	15.5	18.0	-4.1	
8.2	35.2	20.5	0.8	
8.2	42.6	15.5	10.6	
0.8	35.2	10.6	-1.7	
8.2	18.0	0.8	3.2	
15.5	22.9	0.8	-1.7	
25.4	27.8	3.2	8.2	
30.3	22.9	10.6	3.2	
22.9	20.5	10.6	-6.6	
25.4	30.3	0.8	-1.7	
20.5	15.5	0.8	5.7	
27.8	18.0	5.7	20.5	
32.8	22.9	3.2	10.6	
3.2	27.8	3.2	-4.1	
8.2	27.8	0.8	5.7	
25.4	25.4	8.2	8.2	
32.8	40.1	0.8	10.6	
35.2	25.4	5.7	3.2	
18.0	32.8	0.8	15.5	
22.9	32.8	5.7	3.2	
30.3	30.3	5.7	-1.7	
32.8	22.9	8.2	-9.1	
30.3	27.8	3.2	-4.1	
30.3	37.7	-4.1	0.8	
30.3	25.4	0.8	-1.7	
25.4	30.3	15.5	-4.1	
8.2	32.8	8.2	-6.6	
13.1	25.4	8.2	0.8	
0.8	22.9	0.8	3.2	
8.2	20.5	8.2	-9.1	
3.2	22.9	8.2	3.2	
-6.6	27.8	5.7	-4.1	
10.6	22.9	8.2	0.8	
5.7	32.8	5.7	3.2	
0.8	20.5	5.7	0.8	
0.8	32.8	10.6	0.8	
-4.1	22.9	-6.6	-6.6	
8.2	27.8	3.2	-4.1	
8.2	32.8	13.1	-1.7	
8.2	35.2	18.0	5.7	
15.5	25.4	5.7	8.2	
13.1	27.8	5.7	18.0	
18.0	22.9	20.5	15.5	
27.8	30.3	18.0	8.2	
30.3	20.5	18.0	3.2	
13.1	22.9	3.2	-1.7	
20.5	22.9	0.8	8.2	
20.5	35.2	8.2	10.6	
15.5	35.2	-9.1	8.2	
25.4	27.8	8.2	-4.1	
25.4	27.8	8.2	3.2	
22.9	30.3	8.2	-1.7	
25.4	32.8	5.7	-4.1	
20.5	25.4	3.2	-6.6	
18.0	27.8	-1.7	-1.7	
20.5	27.8	5.7	-1.7	
15.5	15.5	-4.1	-1.7	
20.5	25.4	10.6	-1.7	
20.5	27.8	0.8	0.8	
22.9	22.9	8.2	0.8	
13.1	30.3	18.0	0.8	
5.7	37.7	18.0	0.8	
20.5	30.3	18.0	-16.4	
5.7	35.2	-4.1	-9.1	
10.6	35.2	8.2	8.2	
0.8	32.8	0.8	0.8	
13.1	35.2	-1.7	10.6	
22.9	27.8	3.2	-4.1	
30.3	22.9	-6.6	3.2	
18.0	27.8	8.2	0.8	
18.0	30.3	0.8	-1.7	
25.4	32.8	15.5	-4.1	
20.5	30.3	13.1	-4.1	
32.8	27.8	13.1	0.8	
37.7	22.9	8.2	5.7	
30.3	30.3	-1.7	-6.6	
22.9	25.4	3.2	-4.1	
18.0	30.3	5.7	-1.7	
20.5	22.9	5.7	8.2	
20.5	40.1	-4.1	8.2	
22.9	35.2	-4.1	5.7	
27.8	37.7	10.6	0.8	
22.9	25.4	5.7	8.2	
22.9	27.8	0.8	-4.1	
13.1	30.3	-11.5	8.2	
-9.1	35.2	-1.7	-4.1	
-11.5	27.8	-6.6	3.2	
13.1	25.4	8.2	-6.6	
3.2	25.4	10.6	-1.7	
-1.7	30.3	3.2	-4.1	
5.7	37.7	-1.7	3.2	
-6.6	30.3	-4.1	0.8	
0.8	32.8	15.5	3.2	
8.2	27.8	13.1	5.7	
8.2	22.9	0.8	-4.1	
15.5	32.8	0.8	-1.7	
20.5	27.8	3.2	0.8	
15.5	37.7	0.8	8.2	
15.5	35.2	3.2	-1.7	
18.0	32.8	5.7	3.2	
27.8	30.3	8.2	-4.1	
32.8	35.2	5.7	15.5	
32.8	47.5	3.2	5.7	
27.8	37.7	13.1	10.6	
15.5	37.7	3.2	-4.1	
27.8	35.2	3.2	-4.1	
22.9	37.7	-4.1	8.2	
22.9	30.3	8.2	0.8	
13.1	32.8	8.2	-4.1	
15.5	45.1	0.8	8.2	
25.4	50.0	13.1	20.5	
10.6	37.7	18.0	5.7	
0.8	35.2	13.1	0.8	
5.7	45.1	5.7	8.2	
0.8	32.8	-9.1	-6.6	
-1.7	37.7	0.8	8.2	
3.2	37.7	8.2	-9.1	
-11.5	40.1	8.2	-4.1	
3.2	47.5	-1.7	3.2	
8.2	45.1	10.6	0.8	
8.2	45.1	8.2	13.1	
8.2	35.2	-6.6	10.6	
10.6	47.5	13.1	8.2	
-1.7	37.7	18.0	5.7	
13.1	35.2	15.5	0.8	
32.8	40.1	0.8	-4.1	
32.8	25.4	0.8	18.0	
27.8	32.8	0.8	10.6	
30.3	27.8	8.2	-6.6	
18.0	27.8	13.1	-1.7	
10.6	30.3	13.1	3.2	
5.7	37.7	15.5	3.2	
8.2	35.2	8.2	-1.7	
5.7	32.8	13.1	-9.1	
10.6	35.2	13.1	-9.1	
13.1	27.8	13.1	-4.1	
18.0	30.3	3.2	-1.7	
15.5	20.5	10.6	-9.1	
20.5	32.8	5.7	10.6	
20.5	35.2	-1.7	3.2	
13.1	35.2	5.7	0.8	
15.5	27.8	-4.1	-1.7	
25.4	40.1	0.8	0.8	
25.4	37.7	8.2	-1.7	
18.0	35.2	3.2	3.2	
13.1	42.6	5.7	-11.5	
8.2	37.7	0.8	3.2	
18.0	32.8	10.6	-1.7	
20.5	40.1	-1.7	10.6	
8.2	35.2	0.8	3.2	
10.6	25.4	3.2	-9.1	
20.5	30.3	10.6	13.1	
35.2	37.7	10.6	5.7	
37.7	45.1	8.2	0.8	
27.8	32.8	13.1	-4.1	
27.8	27.8	18.0	8.2	
18.0	32.8	18.0	0.8	
27.8	30.3	20.5	-9.1	
32.8	20.5	5.7	5.7	
22.9	32.8	5.7	13.1	
15.5	35.2	3.2	5.7	
8.2	37.7	5.7	-9.1	
8.2	35.2	8.2	-4.1	
15.5	45.1	-1.7	-1.7	
22.9	30.3	3.2	3.2	
32.8	35.2	3.2	-1.7	
22.9	32.8	-1.7	0.8	
30.3	42.6	5.7	-11.5	
8.2	40.1	15.5	-6.6	
-4.1	32.8	13.1	-9.1	
20.5	42.6	13.1	3.2	
27.8	30.3	18.0	-4.1	
18.0	40.1	-11.5	-4.1	
30.3	32.8	8.2	-1.7	
5.7	37.7	8.2	13.1	
0.8	35.2	5.7	-1.7	
8.2	25.4	0.8	5.7	
-1.7	45.1	10.6	-1.7	
5.7	42.6	-1.7	-4.1	
13.1	32.8	8.2	8.2	
20.5	37.7	5.7	-4.1	
8.2	47.5	3.2	-1.7	
22.9	32.8	-6.6	-4.1	
22.9	35.2	5.7	-11.5	
25.4	30.3	15.5	5.7	
35.2	30.3	5.7	8.2	
20.5	27.8	8.2	10.6	
27.8	27.8	3.2	5.7	
30.3	35.2	8.2	5.7	
30.3	27.8	5.7	13.1	
25.4	35.2	8.2	3.2	
18.0	30.3	-1.7	8.2	
15.5	32.8	10.6	-9.1	
20.5	32.8	8.2	-6.6	
15.5	37.7	8.2	-4.1	
15.5	40.1	0.8	-6.6	
5.7	20.5	-1.7	3.2	
3.2	40.1	0.8	-1.7	
-1.7	45.1	0.8	10.6	
